Region;Documents;Citable documents;Citations;Self-Citations;Citations per Document;H index
Europa;211;211;1961;347;9.29;68
Asia;204;204;1866;201;9.15;59
Africa;202;200;3581;572;17.73;78
Europa;198;194;3842;352;19.40;100
Europa;196;195;845;136;4.31;50
Africa;195;188;6388;930;32.76;111
America;194;193;5603;548;28.88;126
Africa;183;180;3993;427;21.82;76
Asia;162;141;3035;388;18.73;80
Europa;154;152;1232;246;8.00;67
America;136;133;4533;303;33.33;64
America;132;130;2634;290;19.95;92
Asia;132;131;2097;293;15.89;64
Africa;129;129;2156;181;16.71;63
America;119;119;3053;287;25.66;71
Africa;114;106;3782;347;33.18;89
America;113;110;4960;511;43.89;119
Oceania;111;110;1697;178;15.29;59
Asia;109;101;1214;82;11.14;43
Africa;108;107;2006;192;18.57;58
Africa;107;102;2163;282;20.21;71
America;103;99;1377;130;13.37;67
Africa;92;92;1478;170;16.07;75
Africa;86;82;1560;234;18.14;62
Europa;81;79;1578;88;19.48;92
Africa;77;76;1131;198;14.69;55
Asia;76;74;627;66;8.25;46
Africa;73;70;3315;250;45.41;85
Europa;71;68;1273;48;17.93;70
Africa;67;66;1533;143;22.88;67
America;64;61;1997;45;31.20;58
Africa;63;61;1038;36;16.48;45
Asia;63;61;536;21;8.51;60
Africa;60;60;591;29;9.85;41
Africa;59;56;360;43;6.10;33
Africa;53;52;937;68;17.68;51
Africa;52;50;463;64;8.90;56
Africa;52;52;738;39;14.19;59
Asia;49;49;166;17;3.39;24
Asia;48;48;675;83;14.06;61
Oceania;48;47;1079;122;22.48;63
Asia;48;48;310;45;6.46;48
America;47;43;620;39;13.19;46
Asia;46;45;758;82;16.48;44
Oceania;46;45;548;27;11.91;46
Africa;46;46;924;74;20.09;62
Europa;45;44;311;74;6.91;49
Europa;44;41;823;164;18.70;64
Europa;44;43;54;16;1.23;86
Asia;42;42;1274;14;30.33;67
America;41;38;722;53;17.61;55
Asia;41;41;308;49;7.51;42
Africa;40;40;649;36;16.23;60
America;39;38;722;60;18.51;45
Oceania;39;39;961;124;24.64;50
Asia;38;38;301;49;7.92;35
Europa;37;36;437;57;11.81;40
Oceania;37;37;735;34;19.86;48
America;32;30;661;20;20.66;43
Asia;32;28;430;63;13.44;57
America;29;28;515;33;17.76;46
Africa;28;27;1136;61;40.57;33
America;28;27;583;54;20.82;51
Europa;27;26;625;49;23.15;44
Asia;24;24;422;48;17.58;41
Africa;22;22;281;13;12.77;36
America;22;22;456;17;20.73;28
America;22;20;141;7;6.41;34
America;19;19;583;14;30.68;39
America;19;19;359;15;18.89;48
Oceania;18;18;342;23;19.00;27
Africa;18;17;98;8;5.44;35
Africa;17;17;314;22;18.47;26
Africa;17;17;608;98;35.76;44
America;15;13;452;36;30.13;62
Africa;15;14;219;6;14.60;28
Europa;14;14;331;20;23.64;40
Africa;13;13;249;8;19.15;28
Africa;12;12;201;3;16.75;28
America;12;12;88;6;7.33;36
Europa;11;11;603;45;54.82;40
Asia;11;11;138;18;12.55;49
Asia;11;10;43;0;3.91;41
Oceania;11;11;212;19;19.27;24
Africa;10;10;126;8;12.60;37
Africa;10;10;78;0;7.80;23
America;10;10;181;13;18.10;25
Oceania;10;10;86;16;8.60;22
America;9;9;151;12;16.78;29
Africa;9;9;130;2;14.44;31
Africa;9;9;297;8;33.00;43
America;9;9;131;4;14.56;26
America;8;6;282;6;35.25;30
America;8;7;186;4;23.25;29
Africa;7;7;118;1;16.86;23
Africa;7;7;84;1;12.00;29
Africa;6;6;198;7;33.00;17
America;6;6;202;2;33.67;27
America;6;5;302;5;50.33;39
Oceania;5;5;63;2;12.60;20
Europa;5;5;7;1;1.40;23
Oceania;4;4;53;2;13.25;19
America;4;4;104;1;26.00;18
Asia;4;4;26;1;6.50;17
America;4;4;150;0;37.50;17
Asia;3;3;15;0;5.00;24
America;3;3;51;5;17.00;10
Africa;3;3;101;0;33.67;11
Africa;3;3;54;1;18.00;13
Asia;3;3;9;0;3.00;18
Africa;3;3;14;0;4.67;13
Africa;3;3;97;8;32.33;38
Oceania;3;3;31;5;10.33;17
America;2;1;26;0;13.00;5
Asia;2;2;30;9;15.00;20
America;2;2;4;0;2.00;16
Africa;2;1;22;2;11.00;15
Africa;2;2;8;0;4.00;8
America;2;2;29;2;14.50;11
Oceania;1;1;6;0;6.00;10
Oceania;1;1;4;0;4.00;3
Europa;1;1;47;2;47.00;16
America;1;1;11;1;11.00;14
Oceania;1;1;9;0;9.00;14
Oceania;1;1;11;0;11.00;5
Oceania;1;1;2;0;2.00;2
America;1;1;24;0;24.00;2
Africa;1;1;0;0;0.00;3
Europa;1;1;21;1;21.00;8
Europa;1;1;111;0;111.00;19
Europa;1;0;0;0;0.00;4
America;1;1;7;0;7.00;10
America;332992;319797;11558288;5403898;34.71;1518
Asia;94869;93353;1860541;519565;19.61;694
Europa;92859;86176;2804116;619634;30.20;934
Europa;83898;81509;2155885;524436;25.70;815
Europa;60381;58463;1519026;322539;25.16;742
Asia;45558;45422;425291;207527;9.34;436
Europa;41195;39754;984488;213299;23.90;654
America;40831;39390;1262853;225902;30.93;725
Europa;31643;31528;265545;75964;8.39;355
Europa;28718;27575;630138;148995;21.94;531
Oceania;26532;25267;726695;140083;27.39;583
Asia;23776;23237;303816;100440;12.78;341
Europa;23604;22792;804198;119222;34.07;636
Europa;18201;17818;575699;85099;31.63;567
Asia;17209;17013;305078;61349;17.73;375
Europa;17033;16509;619359;75456;36.36;629
America;13905;13701;237538;75689;17.08;342
Europa;13608;13509;181679;45051;13.35;336
Asia;12847;12707;214445;45607;16.69;300
Europa;12476;12078;351161;44432;28.15;502
Asia;11242;10900;314904;42235;28.01;456
Europa;9343;9095;325374;42475;34.83;476
Europa;8751;8419;232832;28805;26.61;416
Europa;8742;8603;270337;38071;30.92;407
Asia;7813;7390;108874;28304;13.93;237
Europa;6418;6229;124585;20715;19.41;295
Asia;6257;6082;142791;19195;22.82;325
Europa;6244;6109;176788;26543;28.31;362
America;6195;6078;106361;21276;17.17;261
Europa;5963;5905;87348;19365;14.65;268
Europa;5702;5675;34792;9675;6.10;159
Europa;5406;5293;93360;14618;17.27;277
America;5291;5223;91345;19777;17.26;249
Oceania;5256;5096;144680;19636;27.53;318
Asia;5192;5133;97984;11397;18.87;308
Africa;4620;4412;84234;17084;18.23;260
Europa;4121;4042;80749;14844;19.59;269
Europa;3426;3250;84265;8796;24.60;299
Asia;2924;2901;35867;7588;12.27;148
Europa;2729;2707;25943;5091;9.51;153
Europa;2481;2438;25110;5919;10.12;165
America;2160;2138;47433;8356;21.96;214
Asia;2078;2040;34941;5791;16.81;190
Europa;2073;2056;27926;5587;13.47;172
Europa;2027;2005;25451;3850;12.56;154
Europa;1988;1958;17583;4135;8.84;161
Asia;1870;1806;21251;2401;11.36;144
Asia;1723;1707;22952;8718;13.32;158
Asia;1510;1476;19156;3345;12.69;145
Europa;1313;1307;10247;1827;7.80;114
America;1288;1267;15109;2506;11.73;141
America;1260;1249;9921;2367;7.87;106
Africa;1205;1190;12998;2344;10.79;109
Asia;1196;1156;10507;2921;8.79;130
Africa;1093;1071;10760;2290;9.84;103
America;824;808;14407;2129;17.48;151
Africa;781;769;8621;1886;11.04;97
Europa;658;654;9830;1506;14.94;122
Asia;642;636;8083;1094;12.59;92
Europa;628;623;11841;2173;18.86;148
Asia;623;617;12174;1275;19.54;126
Africa;594;583;15522;2232;26.13;149
Asia;590;581;8301;1414;14.07;112
Asia;581;576;7300;932;12.56;92
Asia;528;524;11878;1422;22.50;131
Africa;510;507;5507;942;10.80;89
Asia;460;441;6710;641;14.59;109
Europa;438;435;6336;999;14.47;116
America;437;432;10486;775;24.00;141
Asia;436;424;4345;385;9.97;100
Asia;414;413;2376;554;5.74;58
Europa;386;384;5062;703;13.11;94
Asia;368;362;7634;942;20.74;122
America;350;346;8220;930;23.49;114
Europa;342;332;13883;1455;40.59;181
Europa;311;307;4430;481;14.24;90
Africa;306;298;4181;367;13.66;81
Asia;267;246;2630;315;9.85;74
Asia;245;237;4295;339;17.53;96
Africa;245;240;5155;644;21.04;102
Europa;243;242;1300;325;5.35;68
America;239;234;6116;586;25.59;126
Asia;234;231;1719;213;7.35;59
Europa;222;220;5382;506;24.24;100
America;219;216;5159;691;23.56;115
Africa;213;207;3985;753;18.71;78
Africa;211;209;3731;649;17.68;82
Africa;211;203;7023;1010;33.28;111
Africa;198;195;3175;377;16.04;82
Africa;195;183;3029;377;15.53;83
Europa;192;192;932;203;4.85;50
Europa;191;186;1492;243;7.81;67
Asia;172;148;2854;318;16.59;80
Africa;152;145;3084;286;20.29;76
Africa;145;143;1631;281;11.25;63
Asia;139;135;2210;307;15.90;64
America;126;123;3044;307;24.16;92
America;116;113;1524;198;13.14;64
America;115;111;1437;133;12.50;67
Africa;111;106;2493;347;22.46;89
Africa;101;97;2017;210;19.97;58
Europa;100;98;1766;131;17.66;92
America;100;96;5857;390;58.57;119
Asia;93;85;626;85;6.73;43
Asia;91;91;710;48;7.80;46
Europa;89;82;804;47;9.03;86
Africa;87;81;1327;160;15.25;71
Oceania;86;84;1481;156;17.22;59
Africa;83;81;1456;299;17.54;62
Asia;79;79;2275;4;28.80;67
Africa;75;75;1255;174;16.73;55
Africa;75;72;1602;86;21.36;75
Africa;74;71;430;17;5.81;41
America;71;70;1793;153;25.25;71
Africa;69;60;2756;218;39.94;85
Africa;66;65;597;38;9.05;45
Asia;62;61;400;26;6.45;60
Oceania;60;60;1337;183;22.28;63
Europa;58;56;697;46;12.02;70
Europa;53;51;605;154;11.42;49
Asia;53;53;1580;64;29.81;61
Africa;52;46;929;79;17.87;56
America;52;48;830;44;15.96;58
Asia;51;48;960;73;18.82;44
Africa;51;46;1732;222;33.96;67
Africa;51;44;495;50;9.71;33
Asia;50;50;393;91;7.86;48
Oceania;49;49;680;43;13.88;46
Africa;48;46;816;61;17.00;51
America;44;44;732;74;16.64;46
Asia;42;41;626;52;14.90;42
Oceania;41;38;1218;101;29.71;50
Asia;40;40;145;18;3.63;35
Europa;39;38;497;48;12.74;40
Africa;37;34;977;97;26.41;60
Africa;37;37;523;56;14.14;62
America;35;34;525;28;15.00;55
Africa;35;33;870;68;24.86;59
Europa;33;33;607;19;18.39;44
America;32;31;1084;30;33.88;43
Asia;31;31;91;12;2.94;24
America;29;29;773;54;26.66;51
America;27;27;408;14;15.11;45
Europa;27;23;935;135;34.63;64
Asia;27;26;574;61;21.26;41
Africa;27;27;613;3;22.70;35
America;25;25;727;56;29.08;48
America;24;23;654;59;27.25;46
Asia;24;23;452;22;18.83;57
Europa;23;22;453;55;19.70;40
America;22;21;310;20;14.09;28
America;20;19;192;8;9.60;34
America;19;19;566;35;29.79;62
Oceania;19;18;647;18;34.05;48
Asia;18;18;185;46;10.28;49
Asia;18;18;53;1;2.94;41
America;17;16;279;12;16.41;39
America;17;17;283;17;16.65;36
Africa;16;16;579;19;36.19;28
Africa;15;15;253;21;16.87;28
Africa;13;13;381;26;29.31;28
Africa;12;12;239;8;19.92;36
America;12;11;155;40;12.92;29
Oceania;12;12;176;18;14.67;27
Africa;12;12;375;20;31.25;38
Asia;12;12;169;11;14.08;17
America;11;11;271;14;24.64;39
Africa;11;11;109;9;9.91;23
Europa;10;10;537;69;53.70;40
Africa;10;10;51;1;5.10;23
America;10;9;198;2;19.80;26
Africa;9;8;33;0;3.67;31
Oceania;9;8;227;11;25.22;24
Africa;7;7;93;1;13.29;33
Africa;7;7;203;6;29.00;37
Africa;7;7;185;15;26.43;43
America;6;5;109;12;18.17;30
Africa;5;5;291;30;58.20;44
Europa;5;4;58;3;11.60;19
America;5;5;62;3;12.40;25
Africa;5;4;70;12;14.00;29
Oceania;5;5;14;2;2.80;22
Oceania;4;4;162;5;40.50;20
America;4;4;80;3;20.00;27
America;3;3;38;0;12.67;10
Asia;3;3;10;0;3.33;24
Africa;3;3;50;0;16.67;26
America;3;3;52;9;17.33;29
Asia;3;3;14;2;4.67;20
America;3;3;110;9;36.67;23
America;3;3;30;0;10.00;17
Oceania;2;2;41;1;20.50;19
Oceania;2;2;22;0;11.00;10
Africa;2;2;3;1;1.50;11
America;2;2;1;0;0.50;16
America;2;2;3;0;1.50;18
Oceania;2;2;38;0;19.00;14
Asia;2;2;112;1;56.00;13
Oceania;2;2;5;0;2.50;5
Africa;2;2;45;16;22.50;15
America;2;2;27;0;13.50;11
Oceania;2;2;11;0;5.50;17
Europa;1;1;1;0;1.00;18
America;1;1;4;1;4.00;10
Africa;1;1;0;0;0.00;13
Africa;1;1;0;0;0.00;15
America;1;1;5;0;5.00;18
Europa;1;1;0;0;0.00;16
Africa;1;1;27;0;27.00;7
America;1;1;20;0;20.00;14
Asia;1;1;1;0;1.00;18
Oceania;1;1;47;2;47.00;23
Africa;1;1;30;0;30.00;13
America;1;1;23;0;23.00;8
America;1;1;21;0;21.00;10
America;327640;312509;11190794;5280071;34.16;1518
Asia;92590;90802;1794255;509687;19.38;694
Europa;87684;80628;2544891;582287;29.02;934
Europa;83742;80955;2089906;518320;24.96;815
Europa;59496;57270;1437515;311536;24.16;742
Asia;58912;58664;503608;255327;8.55;436
Europa;41563;39916;967449;217453;23.28;654
America;39889;38166;1204767;222537;30.20;725
Europa;32492;32322;248332;74156;7.64;355
Europa;29588;28296;636422;150554;21.51;531
Oceania;26985;25532;722224;145816;26.76;583
Asia;24761;24052;307167;106613;12.41;341
Europa;23027;22136;773440;118286;33.59;636
Asia;19397;19110;326825;67561;16.85;375
Europa;17965;17525;586189;86909;32.63;567
Europa;16259;15670;569494;72080;35.03;629
America;14588;14370;226468;75900;15.52;342
Europa;14392;14244;180309;46953;12.53;336
Asia;14287;14048;233632;51552;16.35;300
Europa;12367;11924;344468;47473;27.85;502
Asia;11027;10622;333439;42898;30.24;456
Asia;9415;8949;124519;32827;13.23;237
Europa;9155;8764;234790;29528;25.65;416
Europa;9005;8793;265825;40328;29.52;407
Europa;8973;8712;312693;41933;34.85;476
Asia;7080;6850;152910;21498;21.60;325
Europa;6747;6539;130042;21939;19.27;295
Europa;6617;6578;35429;10611;5.35;159
America;6464;6328;102194;22045;15.81;261
Europa;6344;6257;84784;19887;13.36;268
Europa;6271;6091;177329;26538;28.28;362
Asia;5457;5360;105945;13102;19.41;308
America;5340;5223;87082;18298;16.31;249
Oceania;5251;5046;122799;19644;23.39;318
Europa;5105;5012;92965;14751;18.21;277
Africa;4699;4451;79848;17138;16.99;260
Europa;4397;4301;90029;17438;20.48;269
Europa;3506;3304;99020;8939;28.24;299
Asia;3158;3128;34157;7379;10.82;148
Europa;2544;2525;22958;5377;9.02;153
Europa;2417;2371;26776;5489;11.08;165
America;2248;2206;46452;8701;20.66;214
Asia;2176;2139;31356;5430;14.41;190
Asia;2074;2051;27424;10578;13.22;158
Europa;2027;1999;18658;4435;9.20;161
Europa;1967;1935;22142;3754;11.26;154
Europa;1927;1895;26809;5346;13.91;172
Asia;1789;1728;19372;2766;10.83;144
Europa;1393;1391;12316;1807;8.84;114
Asia;1331;1261;11144;2813;8.37;130
America;1326;1302;16918;2560;12.76;141
America;1314;1300;11634;2582;8.85;106
Asia;1273;1250;18203;3468;14.30;145
Africa;1261;1233;12372;2444;9.81;109
Africa;973;956;10246;2270;10.53;103
Africa;916;890;10370;2187;11.32;97
America;759;738;11519;1793;15.18;151
Europa;661;650;12639;2322;19.12;148
Europa;659;649;7693;1612;11.67;122
Asia;625;619;7066;946;11.31;92
Africa;623;612;13660;2136;21.93;149
Asia;604;594;6948;843;11.50;92
Asia;579;566;6072;1014;10.49;112
Asia;566;558;9729;865;17.19;126
Africa;548;542;6436;1089;11.74;89
Asia;495;480;5651;587;11.42;100
Asia;471;451;6931;668;14.72;109
Asia;426;422;2158;431;5.07;58
Asia;422;416;7519;786;17.82;131
America;417;411;8680;796;20.82;141
Europa;408;403;5429;1021;13.31;116
Europa;399;397;4342;676;10.88;94
Asia;380;378;8376;964;22.04;122
Europa;363;355;12286;1340;33.85;181
America;337;328;6493;1058;19.27;114
Europa;310;305;4534;465;14.63;90
Asia;303;285;3410;431;11.25;74
Africa;299;288;4715;384;15.77;81
America;275;269;6672;864;24.26;115
Asia;247;239;3362;342;13.61;96
America;239;231;5176;510;21.66;126
Asia;226;223;2160;256;9.56;59
Africa;224;216;5253;784;23.45;102
Africa;221;220;3437;714;15.55;78
Europa;216;209;2901;305;13.43;67
Africa;210;205;3724;621;17.73;82
Europa;203;197;3296;382;16.24;100
Europa;194;194;1512;375;7.79;68
Asia;192;175;3637;382;18.94;80
Africa;190;182;5757;837;30.30;111
Asia;186;183;4340;31;23.33;67
Africa;180;175;3110;387;17.28;82
Africa;177;164;3498;381;19.76;83
Europa;175;175;659;195;3.77;50
America;163;153;2030;272;12.45;64
America;145;133;1692;157;11.67;67
Africa;128;128;1152;161;9.00;63
Africa;120;117;1913;226;15.94;76
America;118;112;3103;417;26.30;92
Africa;116;105;2325;305;20.04;89
Asia;115;112;1574;208;13.69;64
Europa;112;107;2524;133;22.54;92
America;108;106;5499;553;50.92;119
Asia;107;99;666;57;6.22;60
Asia;100;97;591;73;5.91;46
Asia;99;96;799;64;8.07;43
Africa;96;93;1902;176;19.81;75
Oceania;95;95;1838;154;19.35;59
Africa;94;90;2080;277;22.13;71
Europa;89;89;908;72;10.20;86
America;87;87;1505;99;17.30;71
Africa;83;82;1238;151;14.92;58
Africa;78;75;1145;184;14.68;62
Africa;70;69;1099;129;15.70;55
Europa;66;63;1301;61;19.71;70
Africa;65;59;419;23;6.45;41
Africa;63;58;2097;205;33.29;85
Africa;63;61;736;44;11.68;45
Africa;62;59;855;151;13.79;62
America;60;56;818;77;13.63;55
Asia;59;59;1122;98;19.02;48
Oceania;58;58;1468;148;25.31;63
Asia;57;54;809;91;14.19;42
Africa;54;54;1789;157;33.13;59
Europa;53;51;515;50;9.72;49
Africa;50;50;615;80;12.30;60
Europa;48;46;1669;189;34.77;64
Africa;47;45;831;102;17.68;67
Oceania;46;44;879;67;19.11;46
Asia;45;45;793;101;17.62;61
America;44;42;977;32;22.20;58
Africa;41;37;489;50;11.93;56
Asia;41;41;892;38;21.76;35
Africa;38;37;319;15;8.39;51
Africa;37;35;323;23;8.73;33
Asia;35;32;628;71;17.94;44
Oceania;34;33;764;28;22.47;48
Asia;34;34;387;18;11.38;24
Europa;33;33;308;61;9.33;40
America;33;33;1496;225;45.33;62
Oceania;30;29;745;90;24.83;50
Asia;28;27;622;27;22.21;57
America;26;26;548;44;21.08;46
America;24;24;264;9;11.00;36
Asia;23;23;574;49;24.96;41
America;23;23;435;25;18.91;51
America;23;23;392;40;17.04;48
America;21;21;371;39;17.67;46
Africa;20;20;195;6;9.75;37
Europa;20;19;299;48;14.95;40
America;20;19;537;13;26.85;28
America;18;13;303;10;16.83;39
America;18;18;312;21;17.33;43
America;18;18;353;5;19.61;45
Africa;18;18;201;28;11.17;28
Africa;16;16;112;17;7.00;28
Europa;16;16;409;55;25.56;44
Asia;16;16;148;8;9.25;41
Africa;14;14;186;12;13.29;28
Africa;14;13;215;3;15.36;35
Africa;13;12;93;1;7.15;23
Africa;13;13;137;5;10.54;31
Asia;12;12;191;40;15.92;49
America;12;12;142;7;11.83;34
America;12;12;122;8;10.17;26
America;11;11;241;4;21.91;30
Africa;11;11;201;12;18.27;36
America;11;9;468;37;42.55;39
Asia;11;11;109;6;9.91;18
Africa;11;11;161;10;14.64;43
America;11;11;165;11;15.00;25
Africa;10;8;148;43;14.80;44
Asia;10;10;287;0;28.70;17
Europa;9;9;527;47;58.56;40
Africa;8;7;50;7;6.25;26
Africa;8;8;46;0;5.75;23
Africa;8;7;76;2;9.50;38
Africa;8;8;29;2;3.63;29
America;6;6;80;2;13.33;18
America;6;6;123;40;20.50;29
Oceania;6;6;284;15;47.33;23
Oceania;6;6;290;4;48.33;27
Oceania;6;6;254;7;42.33;22
America;5;4;285;0;57.00;8
Oceania;5;3;16;3;3.20;24
Europa;4;4;24;0;6.00;18
America;4;4;26;7;6.50;16
America;4;4;70;0;17.50;17
Oceania;3;2;29;1;9.67;19
America;3;2;99;6;33.00;29
Africa;3;3;104;4;34.67;33
Oceania;3;3;85;8;28.33;20
Africa;3;3;26;1;8.67;17
Oceania;3;3;27;3;9.00;14
Europa;3;3;2;0;0.67;23
Europa;3;3;59;0;19.67;19
Africa;3;3;52;9;17.33;15
Asia;2;2;1;1;0.50;24
Asia;2;2;0;0;0.00;20
Africa;2;2;63;0;31.50;11
Africa;2;2;14;0;7.00;13
Africa;2;2;40;1;20.00;15
America;2;2;45;0;22.50;27
Africa;2;2;60;0;30.00;16
America;2;2;25;2;12.50;23
Oceania;2;2;55;7;27.50;17
America;1;1;9;0;9.00;10
Oceania;1;1;10;0;10.00;4
America;1;1;4;3;4.00;10
Europa;1;1;8;1;8.00;16
Oceania;1;1;8;0;8.00;6
America;1;1;0;0;0.00;18
Oceania;1;1;6;0;6.00;5
America;1;1;27;1;27.00;11
Oceania;1;1;9;1;9.00;7
America;345754;328506;11129316;5260272;32.19;1518
Asia;93355;91548;1725497;495670;18.48;694
Europa;90375;83040;2581150;590330;28.56;934
Europa;84707;81660;2078202;517828;24.53;815
Europa;60311;58071;1405176;310935;23.30;742
Asia;58400;58109;614158;320856;10.52;436
Europa;43668;41905;1034114;229201;23.68;654
America;43079;41169;1176426;224830;27.31;725
Europa;32679;32424;241826;74251;7.40;355
Europa;31798;30197;671828;165891;21.13;531
Oceania;28427;26814;732086;147920;25.75;583
Asia;26841;25928;342235;117698;12.75;341
Europa;24492;23526;770573;122757;31.46;636
Asia;20755;20423;356987;75567;17.20;375
Europa;17568;17103;538010;83583;30.62;567
Europa;16829;16103;571802;73690;33.98;629
America;16827;16544;269958;87798;16.04;342
Europa;15635;15398;178911;48765;11.44;336
Asia;14757;14469;251267;55715;17.03;300
Europa;13178;12707;358947;48824;27.24;502
Asia;11956;11432;157229;41830;13.15;237
Asia;11424;10989;306742;42732;26.85;456
Europa;9640;9211;236289;31690;24.51;416
Europa;9267;8924;284677;39908;30.72;476
Europa;8961;8793;260053;39165;29.02;407
Europa;7412;7148;142494;24825;19.22;295
Asia;7376;7121;174099;23748;23.60;325
America;6982;6837;103705;22711;14.85;261
Europa;6708;6616;87348;21783;13.02;268
Europa;6532;6238;178583;28822;27.34;362
Asia;5903;5783;120106;14888;20.35;308
Europa;5865;5822;34375;10605;5.86;159
America;5698;5561;93677;20891;16.44;249
Oceania;5456;5158;123450;18873;22.63;318
Europa;5356;5231;99093;15398;18.50;277
Africa;5282;4996;79926;18320;15.13;260
Europa;4897;4795;100093;19075;20.44;269
Europa;3813;3618;89523;10056;23.48;299
Asia;3355;3314;39862;7845;11.88;148
Asia;2926;2891;36576;14961;12.50;158
America;2745;2696;52365;10384;19.08;214
Europa;2626;2596;26574;5582;10.12;153
Europa;2526;2483;25831;5703;10.23;165
Asia;2448;2401;38454;6018;15.71;190
Europa;2333;2302;21751;5258;9.32;161
Europa;2180;2151;30048;6183;13.78;172
Europa;1996;1967;23895;4127;11.97;154
Asia;1902;1799;22109;2912;11.62;144
Asia;1464;1440;18733;3773;12.80;145
Asia;1437;1364;11617;3608;8.08;130
Europa;1410;1405;10343;1918;7.34;114
America;1349;1325;15874;2531;11.77;141
America;1299;1282;8734;2035;6.72;106
Africa;1242;1208;13376;2530;10.77;109
Africa;1130;1104;9740;2448;8.62;103
Africa;1130;1110;10545;2592;9.33;97
America;905;894;14287;2132;15.79;151
Europa;782;777;10276;2177;13.14;122
Asia;715;708;7669;1050;10.73;92
Africa;696;667;14352;2008;20.62;149
Europa;671;663;11873;2366;17.69;148
Africa;628;620;5820;1070;9.27;89
Asia;583;573;7466;910;12.81;92
Asia;562;554;7556;1333;13.44;112
Asia;556;543;9345;786;16.81;126
Asia;549;543;10715;1123;19.52;131
Asia;525;506;5832;606;11.11;100
Asia;487;459;7276;707;14.94;109
Europa;443;440;4934;741;11.14;94
Europa;433;426;15672;1376;36.19;181
America;428;416;8855;782;20.69;141
Europa;408;399;4205;933;10.31;116
America;390;377;7331;1111;18.80;114
Asia;373;371;6480;851;17.37;122
Asia;368;367;1725;279;4.69;58
Asia;308;300;4204;507;13.65;74
Europa;301;299;3810;614;12.66;90
America;285;280;7816;716;27.42;115
Europa;284;284;1382;318;4.87;50
Africa;278;264;4052;369;14.58;81
Asia;274;261;4120;413;15.04;96
Europa;266;265;6196;610;23.29;100
Africa;266;259;4843;868;18.21;102
Asia;256;250;1502;359;5.87;59
Africa;254;250;3711;924;14.61;78
America;250;238;4820;483;19.28;126
Europa;233;226;2414;178;10.36;86
Africa;231;230;3198;767;13.84;82
Europa;211;210;2309;386;10.94;68
Europa;210;209;1841;241;8.77;67
Asia;193;169;2316;307;12.00;80
Africa;192;187;2997;327;15.61;82
America;186;173;2274;355;12.23;64
Africa;185;176;3531;705;19.09;111
Africa;182;172;2970;420;16.32;83
America;180;171;2606;139;14.48;67
Asia;157;152;4146;32;26.41;67
Africa;152;150;1526;228;10.04;63
America;148;144;2927;457;19.78;92
Europa;131;121;2386;133;18.21;92
Africa;128;125;2835;221;22.15;76
Asia;126;125;1891;171;15.01;64
Asia;122;116;752;91;6.16;46
Asia;119;117;692;29;5.82;60
Africa;115;108;2368;346;20.59;89
Africa;114;108;1808;347;15.86;71
America;108;104;5368;573;49.70;119
Africa;105;100;1116;169;10.63;58
Asia;104;100;1098;128;10.56;48
America;94;93;1904;158;20.26;71
Africa;91;87;1521;158;16.71;75
Africa;82;79;1719;191;20.96;55
Europa;81;75;883;116;10.90;49
Asia;79;75;1060;74;13.42;43
Europa;75;71;1982;78;26.43;70
Africa;75;73;910;68;12.13;45
Oceania;69;68;960;115;13.91;59
Africa;67;64;1180;178;17.61;62
Africa;63;57;1430;211;22.70;67
Africa;59;53;917;108;15.54;56
Africa;58;58;1033;116;17.81;59
Africa;56;54;424;31;7.57;41
Africa;55;54;599;65;10.89;62
America;54;47;1205;53;22.31;58
America;52;52;624;58;12.00;55
Oceania;51;51;490;35;9.61;46
Africa;50;47;1361;113;27.22;85
Asia;50;50;1194;140;23.88;61
Asia;49;49;211;28;4.31;24
Asia;47;42;698;91;14.85;57
Europa;44;42;488;54;11.09;40
Oceania;42;41;806;56;19.19;50
Asia;40;39;645;55;16.13;42
America;37;37;674;56;18.22;46
Europa;37;34;812;94;21.95;64
Asia;36;36;471;31;13.08;35
Africa;35;34;508;71;14.51;60
Oceania;34;34;719;51;21.15;63
America;33;33;593;23;17.97;45
Asia;32;32;603;55;18.84;44
Africa;32;31;350;41;10.94;51
America;29;28;407;34;14.03;46
America;29;29;511;29;17.62;36
Africa;29;28;259;20;8.93;33
Oceania;28;28;651;49;23.25;48
America;27;25;1704;96;63.11;62
Asia;27;26;274;5;10.15;41
Asia;26;24;452;72;17.38;41
America;26;24;404;9;15.54;48
Africa;25;25;237;13;9.48;35
Europa;24;22;560;79;23.33;40
Africa;23;23;145;10;6.30;28
America;21;18;242;70;11.52;29
America;21;20;240;22;11.43;28
Asia;21;21;249;38;11.86;49
America;20;20;420;21;21.00;43
Africa;20;20;215;10;10.75;28
Africa;19;19;334;14;17.58;28
America;18;17;216;15;12.00;34
America;17;16;265;2;15.59;39
Africa;17;17;349;25;20.53;37
America;15;14;310;17;20.67;51
Europa;14;14;198;12;14.14;44
Europa;14;14;29;3;2.07;23
America;13;13;122;13;9.38;30
America;13;11;454;23;34.92;39
Africa;13;13;70;4;5.38;31
Africa;12;11;136;2;11.33;23
Africa;11;10;270;11;24.55;36
Africa;11;11;263;37;23.91;44
America;11;11;436;65;39.64;23
America;11;11;160;8;14.55;25
Asia;10;10;70;16;7.00;20
Europa;10;10;234;31;23.40;40
Africa;10;10;127;11;12.70;38
Africa;9;8;141;1;15.67;43
Africa;9;9;142;0;15.78;23
